Entity,Year,cost_animal_food,cost_animal_food_share,cost_energy_sufficient_diet,cost_energy_sufficient_relative_expenditure,cost_fruits,cost_fruits_share,cost_healthy_diet,cost_healthy_relative_expenditure,cost_legumes,cost_legumes_share,cost_nutrient_sufficient_diet,cost_nutrient_sufficient_relative_expenditure,cost_oils,cost_oils_share,cost_staples,cost_staples_share,cost_veg,cost_veg_share,energy_sufficient_unaffordable_number,energy_sufficient_unaffordable_share,healthy_unaffordable_number,nutrition_sufficient_unaffordable_number,nutrition_sufficient_unaffordable_share
Greece,2018,,,,,,,3.102,,,,,,,,,,,,,,0.3,,
Greece,2019,,,,,,,3.065,,,,,,,,,,,,,,0.3,,
Greece,2020,,,,,,,3.13,,,,,,,,,,,,,,0.3,,
Grenada,2017,1.335,0.248,1.328,0.165,1.207,0.224,5.382,0.67,0.69,0.128,3.767,0.469,0.18,0.033,0.781,0.145,1.189,0.221,,,,,
Grenada,2018,,,,,,,5.536,,,,,,,,,,,,,,,,
Grenada,2019,,,,,,,5.625,,,,,,,,,,,,,,,,
Grenada,2020,,,,,,,5.796,,,,,,,,,,,,,,,,
Guinea,2017,0.559,0.153,0.904,0.246,0.453,0.124,3.655,0.995,0.188,0.051,2.215,0.603,0.179,0.049,0.495,0.135,1.781,0.487,2,16.3,11.4,9.1,75.8
Guinea,2018,,,,,,,3.863,,,,,,,,,,,,,,11.7,,
Guinea,2019,,,,,,,4.001,,,,,,,,,,,,,,12.1,,
Guinea,2020,,,,,,,4.127,,,,,,,,,,,,,,12.5,,
Guinea-Bissau,2017,0.569,0.18,0.925,0.261,0.528,0.167,3.164,0.893,0.069,0.022,1.857,0.524,0.146,0.046,0.576,0.182,1.277,0.404,0.4,22.6,1.6,1.2,64.6
Guinea-Bissau,2018,,,,,,,3.254,,,,,,,,,,,,,,1.6,,
Guinea-Bissau,2019,,,,,,,3.335,,,,,,,,,,,,,,1.7,,
Guinea-Bissau,2020,,,,,,,3.505,,,,,,,,,,,,,,1.7,,
Guyana,2017,0.922,0.199,0.727,0.185,1.282,0.277,4.629,1.179,0.666,0.144,3.606,0.918,0.132,0.029,0.509,0.11,1.117,0.241,0,4.6,0.4,0.3,34.2
Guyana,2018,,,,,,,4.742,,,,,,,,,,,,,,0.4,,
Guyana,2019,,,,,,,4.828,,,,,,,,,,,,,,0.3,,
Guyana,2020,,,,,,,4.889,,,,,,,,,,,,,,0.3,,
Haiti,2017,1.583,0.403,1.095,0.411,0.377,0.096,3.93,1.476,0.35,0.089,2.929,1.1,0.128,0.033,0.646,0.164,0.845,0.215,2.4,21.5,9.1,7.8,70.8
Haiti,2018,,,,,,,4.075,,,,,,,,,,,,,,9.2,,
Haiti,2019,,,,,,,4.275,,,,,,,,,,,,,,9.5,,
Haiti,2020,,,,,,,4.49,,,,,,,,,,,,,,9.8,,
High income,2017,0.744,,0.709,,0.688,,3.138,,0.353,,2.401,,0.101,,0.452,,0.799,,6.7,0.6,17.4,11.2,1
High income,2018,,,,,,,3.198,,,,,,,,,,,,,,16.5,,
High income,2019,,,,,,,3.225,,,,,,,,,,,,,,14.8,,
High income,2020,,,,,,,3.354,,,,,,,,,,,,,,15.3,,
Honduras,2017,1.083,0.322,1.146,0.326,0.484,0.144,3.36,0.956,0.229,0.068,3.472,0.988,0.248,0.074,0.637,0.19,0.68,0.202,1.6,16.9,5.1,5.2,55.2
Honduras,2018,,,,,,,3.415,,,,,,,,,,,,,,5.1,,
Honduras,2019,,,,,,,3.404,,,,,,,,,,,,,,5,,
Honduras,2020,,,,,,,3.486,,,,,,,,,,,,,,5.1,,
Hong Kong,2017,1.034,0.283,0.908,0.08,0.675,0.184,3.659,0.321,0.304,0.083,2.316,0.203,0.16,0.044,0.745,0.204,0.742,0.203,,,,,
Hong Kong,2018,,,,,,,3.819,,,,,,,,,,,,,,,,
Hong Kong,2019,,,,,,,4.147,,,,,,,,,,,,,,,,
Hong Kong,2020,,,,,,,4.513,,,,,,,,,,,,,,,,
Hungary,2017,0.805,0.244,0.434,0.065,0.828,0.251,3.302,0.491,0.42,0.127,2.258,0.336,0.089,0.027,0.407,0.123,0.754,0.228,0,0.3,0.3,0.2,1.7
Hungary,2018,,,,,,,3.383,,,,,,,,,,,,,,0.2,,
Hungary,2019,,,,,,,3.368,,,,,,,,,,,,,,0.2,,
Hungary,2020,,,,,,,3.488,,,,,,,,,,,,,,0.2,,
Iceland,2017,0.596,0.269,0.378,0.042,0.484,0.219,2.213,0.247,0.277,0.125,2.422,0.271,0.055,0.025,0.277,0.125,0.525,0.237,0,0,0,0,0
Iceland,2018,,,,,,,2.247,,,,,,,,,,,,,,0,,
Iceland,2019,,,,,,,2.234,,,,,,,,,,,,,,0,,
Iceland,2020,,,,,,,2.414,,,,,,,,,,,,,,0,,
India,2017,0.892,0.316,0.789,0.274,0.504,0.178,2.824,0.979,0.292,0.103,2.125,0.737,0.142,0.05,0.407,0.144,0.588,0.208,28.8,2.1,1002.5,766.6,57.3
India,2018,,,,,,,2.83,,,,,,,,,,,,,,966.6,,
India,2019,,,,,,,2.877,,,,,,,,,,,,,,948.6,,
India,2020,,,,,,,2.97,,,,,,,,,,,,,,973.3,,
Indonesia,2017,0.929,0.225,1.021,0.209,0.792,0.192,4.129,0.844,0.429,0.104,2.664,0.545,0.13,0.031,0.69,0.167,1.16,0.281,9,3.4,187.2,124.3,47
Indonesia,2018,,,,,,,4.273,,,,,,,,,,,,,,184.4,,
Indonesia,2019,,,,,,,4.268,,,,,,,,,,,,,,182,,
Indonesia,2020,,,,,,,4.466,,,,,,,,,,,,,,189.1,,
Iran,2017,0.704,0.234,0.871,0.218,0.627,0.209,3.005,0.753,0.575,0.191,2.009,0.503,0.165,0.055,0.444,0.148,0.49,0.163,0.1,0.1,9.6,3.2,4
Iran,2018,,,,,,,3.212,,,,,,,,,,,,,,11.4,,
Iran,2019,,,,,,,3.642,,,,,,,,,,,,,,18.3,,
Iran,2020,,,,,,,3.55,,,,,,,,,,,,,,17.1,,
Iraq,2017,0.999,0.296,1.165,0.25,0.654,0.194,3.378,0.726,0.285,0.084,2.505,0.538,0.133,0.039,0.639,0.189,0.667,0.197,0.6,1.7,20,11.3,30.1
Iraq,2018,,,,,,,3.464,,,,,,,,,,,,,,20.4,,
Iraq,2019,,,,,,,3.534,,,,,,,,,,,,,,19.9,,
Iraq,2020,,,,,,,3.54,,,,,,,,,,,,,,19.9,,
Ireland,2017,0.523,0.218,0.568,0.116,0.621,0.259,2.397,0.491,0.285,0.119,2.026,0.415,0.06,0.025,0.326,0.136,0.582,0.243,0,0.2,0,0,0.3
Ireland,2018,,,,,,,2.341,,,,,,,,,,,,,,0,,
Ireland,2019,,,,,,,2.269,,,,,,,,,,,,,,0,,
Ireland,2020,,,,,,,2.225,,,,,,,,,,,,,,0,,
Israel,2017,0.842,0.346,0.503,0.062,0.562,0.231,2.436,0.299,0.216,0.089,1.898,0.233,0.074,0.03,0.345,0.142,0.397,0.163,0,0.2,0.2,0.1,1.2
Israel,2018,,,,,,,2.5,,,,,,,,,,,,,,0.1,,
Israel,2019,,,,,,,2.454,,,,,,,,,,,,,,0.1,,
Israel,2020,,,,,,,2.492,,,,,,,,,,,,,,0.1,,
Italy,2017,0.778,0.27,0.312,0.035,0.812,0.281,2.885,0.325,0.266,0.092,2.226,0.251,0.057,0.02,0.221,0.077,0.751,0.26,0.6,1,1.7,1.3,2.1
Italy,2018,,,,,,,2.979,,,,,,,,,,,,,,1.7,,
Italy,2019,,,,,,,3.012,,,,,,,,,,,,,,1.7,,
Italy,2020,,,,,,,3.144,,,,,,,,,,,,,,1.7,,
Jamaica,2017,1.144,0.191,1.015,0.156,1.997,0.334,5.975,0.917,0.454,0.076,4.057,0.623,0.242,0.041,0.684,0.114,1.454,0.243,0,1.5,1.9,1.3,45.6
Jamaica,2018,,,,,,,6.141,,,,,,,,,,,,,,1.9,,
Jamaica,2019,,,,,,,6.398,,,,,,,,,,,,,,1.9,,
Jamaica,2020,,,,,,,6.681,,,,,,,,,,,,,,2,,
Japan,2017,0.887,0.16,2.958,0.343,1.003,0.181,5.529,0.64,0.51,0.092,3.557,0.412,0.085,0.015,1.477,0.267,1.567,0.283,1.5,1.2,3.2,1.5,1.2
Japan,2018,,,,,,,5.701,,,,,,,,,,,,,,3.1,,
Japan,2019,,,,,,,5.609,,,,,,,,,,,,,,3.1,,
Japan,2020,,,,,,,5.808,,,,,,,,,,,,,,3.1,,
Jordan,2017,1.288,0.377,0.643,0.138,0.604,0.177,3.412,0.732,0.324,0.095,1.61,0.345,0.127,0.037,0.402,0.118,0.667,0.195,0,0,1.6,0.1,0.6
Jordan,2018,,,,,,,3.454,,,,,,,,,,,,,,1.5,,
Jordan,2019,,,,,,,3.5,,,,,,,,,,,,,,1.4,,
Jordan,2020,,,,,,,3.614,,,,,,,,,,,,,,1.5,,
Kazakhstan,2017,0.672,0.281,0.653,0.077,0.356,0.149,2.391,0.283,0.466,0.195,1.753,0.207,0.124,0.052,0.43,0.18,0.344,0.144,0,0,0.3,0.1,0.3
Kazakhstan,2018,,,,,,,2.426,,,,,,,,,,,,,,0.2,,
Kazakhstan,2019,,,,,,,2.537,,,,,,,,,,,,,,0.2,,
Kazakhstan,2020,,,,,,,2.657,,,,,,,,,,,,,,0.2,,
Kenya,2017,0.935,0.329,0.767,0.213,0.569,0.2,2.846,0.79,0.216,0.076,1.851,0.514,0.179,0.063,0.432,0.152,0.515,0.181,9,18,41.9,33.4,66.6
Kenya,2018,,,,,,,2.823,,,,,,,,,,,,,,41.7,,
Kenya,2019,,,,,,,2.907,,,,,,,,,,,,,,42.5,,
Kenya,2020,,,,,,,2.968,,,,,,,,,,,,,,43.6,,
Kuwait,2017,1.024,0.306,0.341,0.054,0.64,0.191,3.344,0.526,0.333,0.1,1.791,0.282,0.169,0.051,0.253,0.076,0.924,0.276,,,,,
Kuwait,2018,,,,,,,3.407,,,,,,,,,,,,,,,,
Kuwait,2019,,,,,,,3.468,,,,,,,,,,,,,,,,
Kuwait,2020,,,,,,,3.606,,,,,,,,,,,,,,,,
Kyrgyzstan,2017,0.796,0.268,0.965,0.22,0.466,0.157,2.97,0.676,0.562,0.189,2.459,0.56,0.172,0.058,0.529,0.178,0.445,0.15,0,0.7,3.5,2.4,39.1
Kyrgyzstan,2018,,,,,,,2.931,,,,,,,,,,,,,,3,,
Kyrgyzstan,2019,,,,,,,2.991,,,,,,,,,,,,,,2.9,,
Kyrgyzstan,2020,,,,,,,3.18,,,,,,,,,,,,,,3.3,,
Laos,2017,1.105,0.293,0.724,0.171,0.736,0.195,3.776,0.894,0.394,0.104,2.901,0.687,0.172,0.046,0.478,0.127,0.892,0.236,0.1,1.7,5.6,4.8,68.5
Laos,2018,,,,,,,3.838,,,,,,,,,,,,,,5.6,,
Laos,2019,,,,,,,3.959,,,,,,,,,,,,,,5.6,,
Laos,2020,,,,,,,4.141,,,,,,,,,,,,,,5.8,,
Latin America and the Caribbean,2017,0.882,,1.09,,0.658,,3.619,,0.427,,3.056,,0.153,,0.615,,0.885,,16.7,2.9,126.8,102.6,18.1
Latin America and the Caribbean,2018,,,,,,,3.687,,,,,,,,,,,,,,121.6,,
Latin America and the Caribbean,2019,,,,,,,3.767,,,,,,,,,,,,,,123.1,,
Latin America and the Caribbean,2020,,,,,,,3.894,,,,,,,,,,,,,,131.4,,
Latvia,2017,0.794,0.254,0.442,0.06,0.648,0.207,3.124,0.428,0.314,0.101,2.029,0.278,0.111,0.036,0.335,0.107,0.921,0.295,0,0.2,0.1,0,1.7
Latvia,2018,,,,,,,3.13,,,,,,,,,,,,,,0,,
Latvia,2019,,,,,,,3.132,,,,,,,,,,,,,,0,,
Latvia,2020,,,,,,,3.24,,,,,,,,,,,,,,0,,
Lesotho,2017,1.172,0.311,0.608,0.236,0.838,0.222,3.77,1.463,0.362,0.096,2.306,0.895,0.148,0.039,0.462,0.123,0.788,0.209,0.2,9,1.7,1.2,59.7
Lesotho,2018,,,,,,,3.878,,,,,,,,,,,,,,1.7,,
Lesotho,2019,,,,,,,4.01,,,,,,,,,,,,,,1.7,,
Lesotho,2020,,,,,,,4.266,,,,,,,,,,,,,,1.8,,
Liberia,2017,0.685,0.17,0.971,1.274,0.901,0.224,4.018,5.272,0.229,0.057,2.982,3.913,0.092,0.023,1.27,0.316,0.84,0.209,1.8,37.8,4.6,4.3,92.4
Liberia,2018,,,,,,,4.03160712053957,,,,,,,,,,,,,,4.7,,
Liberia,2019,,,,,,,3.847,,,,,,,,,,,,,,4.8,,
Liberia,2020,,,,,,,3.903,,,,,,,,,,,,,,4.9,,
Lithuania,2017,0.702,0.234,0.505,0.044,0.67,0.223,3.003,0.263,0.343,0.114,1.969,0.173,0.086,0.029,0.368,0.123,0.834,0.278,0,0.8,0.1,0,1.6
Lithuania,2018,,,,,,,3.042,,,,,,,,,,,,,,0.1,,
Lithuania,2019,,,,,,,3.039,,,,,,,,,,,,,,0,,
Lithuania,2020,,,,,,,3.099,,,,,,,,,,,,,,0,,
Low income,2017,0.941,,0.835,,0.495,,3.084,,0.192,,2.038,,0.16,,0.533,,0.761,,105.5,22.4,425.6,359.2,76.2
Low income,2018,,,,,,,3.094,,,,,,,,,,,,,,432.4,,
Low income,2019,,,,,,,3.117,,,,,,,,,,,,,,441,,
Low income,2020,,,,,,,3.202,,,,,,,,,,,,,,454.2,,
Lower-middle income,2017,0.99,,0.945,,0.639,,3.398,,0.321,,2.507,,0.156,,0.53,,0.762,,240.3,7.8,2205,1584.1,51.4
Lower-middle income,2018,,,,,,,3.435,,,,,,,,,,,,,,2170,,
Lower-middle income,2019,,,,,,,3.596,,,,,,,,,,,,,,2168.9,,
Lower-middle income,2020,,,,,,,3.701,,,,,,,,,,,,,,2230.7,,
Luxembourg,2017,0.656,0.263,0.335,0.04,0.762,0.306,2.492,0.298,0.28,0.112,2.038,0.244,0.056,0.022,0.208,0.083,0.53,0.213,0,0.1,0,0,0.4
Luxembourg,2018,,,,,,,2.627,,,,,,,,,,,,,,0,,
Luxembourg,2019,,,,,,,2.6,,,,,,,,,,,,,,0,,
Luxembourg,2020,,,,,,,2.661,,,,,,,,,,,,,,0,,
Madagascar,2017,1.02,0.341,1.079,0.588,0.563,0.188,2.987,1.627,0.328,0.11,2.589,1.41,0.197,0.066,0.555,0.186,0.324,0.108,19.9,77.8,24.8,24.5,95.8
Madagascar,2018,,,,,,,3.122,,,,,,,,,,,,,,25.5,,
Madagascar,2019,,,,,,,3.154,,,,,,,,,,,,,,26.2,,
Madagascar,2020,,,,,,,3.181,,,,,,,,,,,,,,26.9,,
Malawi,2017,1.085,0.398,0.285,0.219,0.396,0.145,2.724,2.095,0.13,0.048,1.616,1.243,0.176,0.065,0.328,0.12,0.61,0.224,0.6,3.5,16.9,15.3,86.3
Malawi,2018,,,,,,,2.787,,,,,,,,,,,,,,17.4,,
Malawi,2019,,,,,,,2.989,,,,,,,,,,,,,,17.9,,
Malawi,2020,,,,,,,3.149,,,,,,,,,,,,,,18.5,,
Malaysia,2017,0.83,0.257,0.909,0.104,0.929,0.288,3.224,0.371,0.294,0.091,2.384,0.274,0.067,0.021,0.456,0.141,0.648,0.201,0,0,0.8,0.2,0.8
Malaysia,2018,,,,,,,3.319,,,,,,,,,,,,,,0.7,,
Malaysia,2019,,,,,,,3.412,,,,,,,,,,,,,,0.5,,
Malaysia,2020,,,,,,,3.538,,,,,,,,,,,,,,0.6,,
Maldives,2017,0.906,0.253,0.423,0.145,0.861,0.24,3.581,1.225,0.409,0.114,2.686,0.919,0.099,0.028,0.239,0.067,1.067,0.298,0,0,0,0,0.9
Maldives,2018,,,,,,,3.634,,,,,,,,,,,,,,0,,
Maldives,2019,,,,,,,3.662,,,,,,,,,,,,,,0,,
Maldives,2020,,,,,,,3.861,,,,,,,,,,,,,,0,,
Mali,2017,1.003,0.346,0.6,0.233,0.543,0.187,2.9,1.126,0.134,0.046,1.985,0.77,0.143,0.049,0.43,0.148,0.648,0.223,0.4,2.4,14.8,11.4,61.6
Mali,2018,,,,,,,3.035,,,,,,,,,,,,,,14.8,,
Mali,2019,,,,,,,2.96,,,,,,,,,,,,,,14.4,,
Mali,2020,,,,,,,3.053,,,,,,,,,,,,,,15,,
Malta,2017,0.795,0.228,0.741,0.109,0.931,0.266,3.494,0.512,0.45,0.129,2.647,0.388,0.08,0.023,0.508,0.145,0.73,0.209,0,0.1,0,0,0.3
Malta,2018,,,,,,,3.629,,,,,,,,,,,,,,0,,
Malta,2019,,,,,,,3.698,,,,,,,,,,,,,,0,,
Malta,2020,,,,,,,3.769,,,,,,,,,,,,,,0,,
Mauritania,2017,0.96,0.278,0.877,0.263,0.804,0.233,3.451,1.036,0.194,0.056,2.814,0.845,0.16,0.046,0.463,0.134,0.87,0.252,0.1,2.9,2.7,2.1,49.2
Mauritania,2018,,,,,,,3.574,,,,,,,,,,,,,,2.7,,
Mauritania,2019,,,,,,,3.6541,,,,,,,,,,,,,,2.7,,
Mauritania,2020,,,,,,,3.692,,,,,,,,,,,,,,2.8,,
Mauritius,2017,0.876,0.264,0.814,0.078,0.565,0.171,3.313,0.318,0.296,0.089,2.519,0.242,0.1,0.03,0.407,0.123,1.07,0.323,0,0,0.2,0.1,6
Mauritius,2018,,,,,,,3.396,,,,,,,,,,,,,,0.2,,
Mauritius,2019,,,,,,,3.439,,,,,,,,,,,,,,0.2,,
Mauritius,2020,,,,,,,3.604,,,,,,,,,,,,,,0.2,,
Mexico,2017,0.766,0.256,0.643,0.082,0.599,0.2,2.993,0.38,0.35,0.117,2.483,0.315,0.096,0.032,0.411,0.137,0.771,0.258,1,0.8,32.6,23.2,18.6
Mexico,2018,,,,,,,3.071,,,,,,,,,,,,,,31.4,,
Mexico,2019,,,,,,,3.075,,,,,,,,,,,,,,30.3,,
Mexico,2020,,,,,,,3.293,,,,,,,,,,,,,,33.9,,
Middle East and North Africa,2017,0.941,,0.737,,0.652,,3.14,,0.345,,2.032,,0.141,,0.461,,0.601,,2.9,0.9,130.4,64.6,19.2
Middle East and North Africa,2018,,,,,,,3.223,,,,,,,,,,,,,,135.6,,
Middle East and North Africa,2019,,,,,,,3.308,,,,,,,,,,,,,,139.9,,
Middle East and North Africa,2020,,,,,,,3.37,,,,,,,,,,,,,,136.7,,
Moldova,2017,0.746,0.303,0.802,0.116,0.432,0.176,2.46,0.355,0.36,0.146,1.683,0.243,0.121,0.049,0.462,0.188,0.339,0.138,0,0,0.2,0,0.7
Moldova,2018,,,,,,,2.571,,,,,,,,,,,,,,0.1,,
Moldova,2019,,,,,,,2.687,,,,,,,,,,,,,,0.2,,
Moldova,2020,,,,,,,2.814,,,,,,,,,,,,,,0.2,,
Mongolia,2017,0.756,0.166,0.743,0.16,1.921,0.423,4.544,0.979,0.468,0.103,2.259,0.487,0.167,0.037,0.553,0.122,0.68,0.15,0,0.1,1.7,0.4,12.7
Mongolia,2018,,,,,,,4.667,,,,,,,,,,,,,,1.7,,
Mongolia,2019,,,,,,,4.901,,,,,,,,,,,,,,1.6,,
Mongolia,2020,,,,,,,5.103,,,,,,,,,,,,,,1.7,,
Montenegro,2017,0.862,0.254,0.551,0.05,0.833,0.245,3.397,0.31,0.367,0.108,2.294,0.209,0.081,0.024,0.425,0.125,0.829,0.244,0,1.6,0.1,0.1,9.5
Montenegro,2018,,,,,,,3.414,,,,,,,,,,,,,,0.1,,
Montenegro,2019,,,,,,,3.509,,,,,,,,,,,,,,0.1,,
Montenegro,2020,,,,,,,3.494,,,,,,,,,,,,,,0.1,,
Montserrat,2017,0.799,0.164,1.381,0.222,0.876,0.179,4.883,0.784,0.462,0.095,3.684,0.591,0.201,0.041,0.76,0.156,1.785,0.366,,,,,
Morocco,2017,0.798,0.294,0.608,0.144,0.539,0.199,2.71,0.641,0.358,0.132,1.912,0.452,0.119,0.044,0.41,0.151,0.485,0.179,0,0.1,6.7,2.5,7.1
Morocco,2018,,,,,,,2.752,,,,,,,,,,,,,,6.3,,
Morocco,2019,,,,,,,2.759,,,,,,,,,,,,,,6.1,,
Morocco,2020,,,,,,,2.797,,,,,,,,,,,,,,6.2,,
Mozambique,2017,0.993,0.328,0.383,0.244,0.389,0.128,3.031,1.932,0.208,0.069,1.969,1.255,0.191,0.063,0.408,0.135,0.843,0.278,3.8,13.3,26.2,23.9,83.5
Mozambique,2018,,,,,,,2.988,,,,,,,,,,,,,,26.8,,
Mozambique,2019,,,,,,,3.057,,,,,,,,,,,,,,27.6,,
Mozambique,2020,,,,,,,3.228,,,,,,,,,,,,,,28.6,,
Myanmar,2017,1.029,0.278,0.91,0.254,0.64,0.173,3.706,1.034,0.368,0.099,2.6,0.726,0.111,0.03,0.645,0.174,0.913,0.246,0.3,0.6,36.3,20.9,39.2
Myanmar,2018,,,,,,,3.786,,,,,,,,,,,,,,34.2,,
Myanmar,2019,,,,,,,3.861,,,,,,,,,,,,,,32.3,,
Myanmar,2020,,,,,,,4.186,,,,,,,,,,,,,,35.4,,
Namibia,2017,0.736,0.226,1.009,0.304,0.811,0.249,3.255,0.979,0.192,0.059,1.839,0.553,0.115,0.035,0.571,0.175,0.83,0.255,0.3,13.4,1.3,0.8,32.4
Namibia,2018,,,,,,,3.3,,,,,,,,,,,,,,1.3,,
Namibia,2019,,,,,,,3.378,,,,,,,,,,,,,,1.4,,
Namibia,2020,,,,,,,3.52,,,,,,,,,,,,,,1.4,,
Nepal,2017,1.38,0.334,0.987,0.253,1.025,0.248,4.127,1.057,0.337,0.082,2.565,0.657,0.166,0.04,0.507,0.123,0.711,0.172,1.6,5.9,24,17.8,64.3
Nepal,2018,,,,,,,4.145,,,,,,,,,,,,,,23.7,,
Nepal,2019,,,,,,,4.222,,,,,,,,,,,,,,23.8,,
Nepal,2020,,,,,,,4.362,,,,,,,,,,,,,,24.5,,
Netherlands,2017,0.614,0.224,0.297,0.043,0.607,0.221,2.743,0.394,0.255,0.093,1.771,0.254,0.053,0.019,0.322,0.117,0.892,0.325,0,0,0.1,0,0.3
Netherlands,2018,,,,,,,2.821,,,,,,,,,,,,,,0.1,,
Netherlands,2019,,,,,,,2.844,,,,,,,,,,,,,,0,,
Netherlands,2020,,,,,,,2.991,,,,,,,,,,,,,,0,,
New Zealand,2017,0.739,0.277,0.489,0.058,0.663,0.248,2.671,0.319,0.299,0.112,2.223,0.265,0.056,0.021,0.313,0.117,0.6,0.225,,,,,
New Zealand,2018,,,,,,,2.589,,,,,,,,,,,,,,,,
New Zealand,2019,,,,,,,2.692,,,,,,,,,,,,,,,,
New Zealand,2020,,,,,,,2.723,,,,,,,,,,,,,,,,
Nicaragua,2017,1.016,0.318,1.436,0.421,0.373,0.117,3.191,0.935,0.331,0.104,2.489,0.729,0.14,0.044,0.587,0.184,0.743,0.233,0.4,5.7,2.1,1.4,21.2
Nicaragua,2018,,,,,,,3.245,,,,,,,,,,,,,,2.2,,
Nicaragua,2019,,,,,,,3.279,,,,,,,,,,,,,,2.3,,
Nicaragua,2020,,,,,,,3.335,,,,,,,,,,,,,,2.4,,
Niger,2017,1.138,0.399,0.608,0.867,0.601,0.211,2.85,4.064,0.094,0.033,1.658,2.364,0.144,0.051,0.401,0.141,0.473,0.166,2.1,9.9,19.7,15.7,72.5
Niger,2018,,,,,,,2.812,,,,,,,,,,,,,,20,,
Niger,2019,,,,,,,2.792,,,,,,,,,,,,,,20.6,,
Niger,2020,,,,,,,2.859,,,,,,,,,,,,,,21.5,,
Nigeria,2017,0.994,0.279,1.382,0.234,0.522,0.146,3.565,0.603,0.23,0.065,2.115,0.358,0.13,0.036,0.757,0.212,0.932,0.261,105.6,55.3,179.7,149,78.1
Nigeria,2018,,,,,,,3.724,,,,,,,,,,,,,,185.6,,
Nigeria,2019,,,,,,,3.87,,,,,,,,,,,,,,191.5,,
Nigeria,2020,,,,,,,4.093,,,,,,,,,,,,,,197.6,,
North America,2017,0.608,,0.892,,0.587,,3.386,,0.375,,3.011,,0.101,,0.611,,1.103,,4.1,1.1,6.8,5.1,1.4
North America,2018,,,,,,,3.331,,,,,,,,,,,,,,6,,
North America,2019,,,,,,,3.325,,,,,,,,,,,,,,5.1,,
North America,2020,,,,,,,3.336,,,,,,,,,,,,,,5.2,,
North Macedonia,2017,0.949,0.286,0.73,0.096,0.64,0.193,3.318,0.434,0.347,0.105,2.972,0.389,0.146,0.044,0.525,0.158,0.712,0.215,0.1,2.6,0.5,0.4,17.7
North Macedonia,2018,,,,,,,3.31,,,,,,,,,,,,,,0.4,,
North Macedonia,2019,,,,,,,3.336,,,,,,,,,,,,,,0.4,,
North Macedonia,2020,,,,,,,3.427,,,,,,,,,,,,,,0.4,,
Norway,2017,0.691,0.208,1.122,0.15,0.615,0.185,3.325,0.446,0.257,0.077,2.849,0.382,0.075,0.023,0.565,0.17,1.122,0.337,0,0.3,0,0,0.5
Norway,2018,,,,,,,3.432,,,,,,,,,,,,,,0,,
Norway,2019,,,,,,,3.356,,,,,,,,,,,,,,0,,
Norway,2020,,,,,,,3.471,,,,,,,,,,,,,,0,,
Oman,2017,0.842,0.299,0.522,0.072,0.378,0.134,2.815,0.39,0.351,0.125,1.899,0.263,0.148,0.053,0.496,0.176,0.599,0.213,,,,,
Oman,2018,,,,,,,2.838,,,,,,,,,,,,,,,,
Oman,2019,,,,,,,2.921,,,,,,,,,,,,,,,,
Oman,2020,,,,,,,3.021,,,,,,,,,,,,,,,,
Pakistan,2017,1.019,0.299,0.768,0.209,0.923,0.271,3.408,0.928,0.34,0.1,1.946,0.53,0.193,0.057,0.41,0.12,0.524,0.154,0.4,0.2,165.7,79.9,38.4
Pakistan,2018,,,,,,,3.395,,,,,,,,,,,,,,167.6,,
Pakistan,2019,,,,,,,3.46,,,,,,,,,,,,,,175.9,,
Pakistan,2020,,,,,,,3.685,,,,,,,,,,,,,,184.4,,
Palestine,2017,1.127,0.337,1.124,0.284,0.695,0.208,3.342,0.845,0.186689715164812,0.056,1.761,0.445,0.122,0.037,0.649,0.194,0.564,0.169,0,1,1.1,0.2,4.4
Palestine,2018,,,,,,,3.398,,,,,,,,,,,,,,1.2,,
Palestine,2019,,,,,,,3.493,,,,,,,,,,,,,,1.2,,
Palestine,2020,,,,,,,3.356,,,,,,,,,,,,,,1.1,,
Panama,2017,1.11,0.263,1.128,0.138,0.654,0.155,4.225,0.516,0.306,0.072,3.224,0.394,0.17,0.04,0.69,0.163,1.295,0.307,0.1,2.7,0.9,0.6,14.7
Panama,2018,,,,,,,4.268,,,,,,,,,,,,,,0.8,,
Panama,2019,,,,,,,4.382,,,,,,,,,,,,,,0.8,,
Panama,2020,,,,,,,4.476,,,,,,,,,,,,,,0.8,,
Paraguay,2017,0.809,0.236,0.95,0.162,0.455,0.133,3.43,0.585,0.826,0.241,3.886,0.662,0.142,0.041,0.474,0.138,0.724,0.211,0,0.5,1.4,1.7,24.8
Paraguay,2018,,,,,,,3.511,,,,,,,,,,,,,,1.3,,
Paraguay,2019,,,,,,,3.519,,,,,,,,,,,,,,1.3,,
Paraguay,2020,,,,,,,3.543,,,,,,,,,,,,,,1.3,,
Peru,2017,0.898,0.291,0.916,0.207,0.57,0.185,3.084,0.696,0.35,0.113,2.24,0.505,0.122,0.04,0.591,0.192,0.552,0.179,0.7,2.2,7.5,4.6,14.5
Peru,2018,,,,,,,3.061,,,,,,,,,,,,,,6.7,,
Peru,2019,,,,,,,3.248,,,,,,,,,,,,,,6.7,,
Peru,2020,,,,,,,3.285,,,,,,,,,,,,,,6.8,,
Philippines,2017,1.095,0.285,1.158,0.176,0.591,0.154,3.843,0.586,0.319,0.083,2.82,0.43,0.201,0.052,0.684,0.178,0.953,0.248,7.9,7.5,74.6,57.1,54.2
Philippines,2018,,,,,,,3.998,,,,,,,,,,,,,,75.7,,
